date,E_pH3.5(mV),E_pH3.0(mV),source_filename
20180305,196.141944444445,225.228888888889,2018-03-05T08_55_48_pH_calibration_7_4_10_T280.csv
20180314,200.948611111111,230.391111111111,2018-03-14T09_38_16_pH_calibration_7_4_10_T299.csv
20180315,195.871944444445,225.008888888889,2018-03-15T07_53_10_pH_calibration_7_4_10_T301.csv
20180316,195.449444444445,224.584444444445,2018-03-16T10_19_31_pH_calibration_7_4_10_T303.csv
20180319,195.196245210728,224.322911877395,2018-03-19T08_20_01_pH_calibration_7_4_10_T319.csv
20180319,195.196245210728,224.322911877395,2018-03-19T08_20_01_pH_calibration_7_4_10_T319.csv
20180319,194.781877394636,223.770421455939,2018-03-19T08_20_01_pH_calibration_7_4_10_T319.csv
