Raw Data
Scope 1/1, Sample 1/1 (CRM)
Method Function,Sample (S1)
Creation time,6/7/2018 12:28:36 PM,
Sample start time,6/7/2018 12:28:36 PM,
Sample size,50.0421 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,6/7/2018 12:28:36 PM,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,6/7/2018 12:28:45 PM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.127050 mmol,
VEQ1,1.2705 mL,
EST,-37.2 mV,
VEX,0.001000 mL,
VEND,1.271500 mL,
t,02:53 min,
QEND,0.127150 mmol,
QEX,0.000100 mmol,
Method Function,Stir (Stir1)
Creation time,6/7/2018 12:31:50 PM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,6/7/2018 12:38:50 PM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.116200 mmol,
VEQ1,1.1620 mL,
EST,190.2 mV,
VEX,0 mL,
VEND,1.1620 mL,
t,02:32 min,
QEND,0.116200 mmol,
QEX,0.0000 mmol,

Table of Measured Values
Task,T388
Scope 1/1, Sample 1/1 (CRM)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-37.2,24.3,NaN,,
0.0005,1,-61.1,24.4,0.0005,,
0.0020,2,-61.8,24.4,0.0015,,
0.0050,3,-62.2,24.4,0.0025,,
0.0090,4,-62.4,24.4,0.0035,,
0.0150,5,-61.9,24.4,0.0050,,
0.0235,6,-60.7,24.4,0.0070,,
0.0310,7,-60.2,24.4,0.0070,,
0.0395,8,-59.1,24.4,0.0075,,
0.0480,9,-58.2,24.4,0.0075,,
0.0565,10,-57.2,24.4,0.0070,,
0.0650,11,-56.1,24.4,0.0070,,
0.0730,12,-54.6,24.4,0.0075,,
0.0810,13,-52.9,24.4,0.0075,,
0.0890,14,-50.6,24.4,0.0075,,
0.0975,15,-48.2,24.4,0.0075,,
0.1060,16,-46.3,24.4,0.0070,,
0.1145,17,-43.9,24.4,0.0070,,
0.1230,18,-41.4,24.4,0.0070,,
0.1305,19,-39.1,24.4,0.0070,,
0.1390,20,-36.6,24.4,0.0075,,
0.1475,21,-33.6,24.4,0.0070,,
0.1555,22,-29.9,24.4,0.0065,,
0.1640,23,-26.6,24.4,0.0070,,
0.1725,24,-23.5,24.4,0.0075,,
0.1800,25,-20.0,24.4,0.0070,,
0.1885,26,-17.1,24.4,0.0075,,
0.1970,27,-14.9,24.4,0.0070,,
0.2055,28,-12.5,24.4,0.0070,,
0.2140,29,-10.3,24.4,0.0070,,
0.2225,30,-8.2,24.4,0.0075,,
0.2300,31,-6.5,24.4,0.0070,,
0.2385,32,-5.0,24.4,0.0075,,
0.2465,33,-3.4,24.4,0.0065,,
0.2550,34,-1.0,24.4,0.0070,,
0.2635,35,0.7,24.4,0.0070,,
0.2710,36,2.1,24.4,0.0070,,
0.2795,37,3.3,24.4,0.0075,,
0.2880,38,4.3,24.4,0.0075,,
0.2965,39,5.3,24.4,0.0070,,
0.3050,40,6.4,24.4,0.0070,,
0.3130,41,7.3,24.4,0.0065,,
0.3210,42,8.8,24.4,0.0075,,
0.3290,43,10.1,24.4,0.0065,,
0.3375,44,11.3,24.4,0.0075,,
0.3460,45,12.4,24.4,0.0070,,
0.3545,46,13.7,24.4,0.0070,,
0.3630,47,14.8,24.4,0.0070,,
0.3705,48,15.7,24.4,0.0070,,
0.3790,49,16.7,24.4,0.0075,,
0.3875,50,17.7,24.4,0.0075,,
0.3960,51,18.7,24.4,0.0070,,
0.4040,52,19.7,24.4,0.0065,,
0.4125,53,20.6,24.4,0.0070,,
0.4200,54,21.5,24.4,0.0070,,
0.4285,55,22.5,24.3,0.0075,,
0.4370,56,23.4,24.4,0.0075,,
0.4455,57,24.3,24.4,0.0070,,
0.4540,58,25.2,24.4,0.0070,,
0.4620,59,26.2,24.4,0.0065,,
0.4705,60,27.0,24.4,0.0075,,
0.4785,61,27.9,24.4,0.0075,,
0.4865,62,28.7,24.3,0.0075,,
0.4950,63,29.6,24.4,0.0070,,
0.5035,64,30.5,24.4,0.0070,,
0.5120,65,31.4,24.4,0.0070,,
0.5195,66,32.3,24.4,0.0070,,
0.5280,67,33.1,24.4,0.0075,,
0.5365,68,33.8,24.3,0.0075,,
0.5450,69,34.6,24.3,0.0070,,
0.5530,70,35.3,24.4,0.0065,,
0.5615,71,36.2,24.4,0.0070,,
0.5690,72,37.0,24.4,0.0070,,
0.5775,73,37.8,24.4,0.0075,,
0.5860,74,38.7,24.4,0.0075,,
0.5945,75,39.5,24.4,0.0070,,
0.6030,76,40.5,24.4,0.0070,,
0.6115,77,41.3,24.4,0.0070,,
0.6190,78,42.0,24.4,0.0070,,
0.6275,79,42.7,24.4,0.0075,,
0.6360,80,43.5,24.4,0.0070,,
0.6440,81,44.3,24.4,0.0065,,
0.6525,82,45.1,24.3,0.0070,,
0.6610,83,45.9,24.4,0.0070,,
0.6685,84,46.6,24.3,0.0070,,
0.6770,85,47.5,24.3,0.0075,,
0.6855,86,48.3,24.3,0.0070,,
0.6940,87,49.1,24.4,0.0070,,
0.7025,88,49.9,24.4,0.0070,,
0.7105,89,50.9,24.4,0.0065,,
0.7185,90,51.7,24.3,0.0075,,
0.7265,91,52.6,24.4,0.0075,,
0.7350,92,53.4,24.3,0.0070,,
0.7435,93,54.2,24.3,0.0070,,
0.7520,94,55.1,24.4,0.0070,,
0.7605,95,56.1,24.4,0.0070,,
0.7680,96,57.0,24.3,0.0070,,
0.7765,97,57.9,24.3,0.0075,,
0.7850,98,59.0,24.4,0.0075,,
0.7930,99,60.0,24.4,0.0065,,
0.8015,100,61.1,24.4,0.0070,,
0.8100,101,62.1,24.3,0.0070,,
0.8175,102,63.2,24.4,0.0070,,
0.8260,103,64.2,24.4,0.0075,,
0.8345,104,65.3,24.3,0.0075,,
0.8430,105,66.3,24.4,0.0070,,
0.8515,106,67.2,24.3,0.0070,,
0.8595,107,68.6,24.3,0.0065,,
0.8675,108,69.4,24.3,0.0075,,
0.8755,109,70.8,24.3,0.0075,,
0.8840,110,72.2,24.4,0.0075,,
0.8925,111,73.5,24.4,0.0070,,
0.9010,112,74.8,24.4,0.0070,,
0.9095,113,76.0,24.3,0.0070,,
0.9170,114,77.1,24.4,0.0070,,
0.9255,115,78.7,24.4,0.0075,,
0.9340,116,80.9,24.3,0.0075,,
0.9420,117,82.3,24.3,0.0065,,
0.9505,118,84.0,24.3,0.0070,,
0.9590,119,85.9,24.3,0.0070,,
0.9665,120,87.6,24.4,0.0070,,
0.9750,121,89.6,24.4,0.0075,,
0.9835,122,91.3,24.4,0.0075,,
0.9920,123,93.7,24.3,0.0070,,
1.0005,124,96.0,24.4,0.0070,,
1.0085,125,98.8,24.3,0.0065,,
1.0165,126,101.1,24.3,0.0075,,
1.0245,127,103.6,24.3,0.0075,,
1.0330,128,106.8,24.3,0.0075,,
1.0415,129,110.7,24.4,0.0070,,
1.0500,130,114.7,24.3,0.0070,,
1.0585,131,118.4,24.3,0.0070,,
1.0660,132,121.8,24.3,0.0070,,
1.0745,133,126.2,24.3,0.0075,,
1.0830,134,131.2,24.3,0.0075,,
1.0915,135,135.0,24.3,0.0070,,
1.0995,136,139.5,24.4,0.0065,,
1.1080,137,143.7,24.3,0.0075,,
1.1155,138,148.5,24.3,0.0070,,
1.1240,139,152.2,24.3,0.0075,,
1.1325,140,156.2,24.3,0.0070,,
1.1410,141,159.5,24.3,0.0070,,
1.1495,142,162.4,24.3,0.0070,,
1.1580,143,165.1,24.3,0.0075,,
1.1655,144,167.7,24.3,0.0070,,
1.1740,145,170.2,24.3,0.0075,,
1.1820,146,172.2,24.3,0.0065,,
1.1905,147,174.3,24.3,0.0070,,
1.1990,148,176.1,24.3,0.0070,,
1.2075,149,178.0,24.3,0.0070,,
1.2150,150,179.5,24.3,0.0070,,
1.2235,151,181.1,24.3,0.0075,,
1.2320,152,182.7,24.3,0.0070,,
1.2405,153,184.1,24.3,0.0070,,
1.2490,154,185.5,24.3,0.0070,,
1.2545,155,186.7,24.3,0.0050,,
1.2555,156,187.6,24.3,0.0010,,
1.2560,157,187.9,24.3,0.0005,,
1.2570,158,188.0,24.3,0.0010,,
1.2585,159,188.2,24.3,0.0010,,
1.2615,160,188.4,24.3,0.0025,,
1.2655,161,188.7,24.3,0.0035,,
1.2680,162,189.3,24.3,0.0025,,
1.2680,163,189.7,24.3,0.0000,,
1.2690,164,189.7,24.3,0.0010,,
1.2695,165,189.8,24.3,0.0005,,
1.2705,166,190.0,24.3,0.0010,,
1.2715,167,190.0,24.3,0.0010,,
Result,TitrationEP2
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,190.2,24.6,NaN,,
0.0005,1,189.8,24.6,0.0005,,
0.0020,2,189.8,24.6,0.0015,,
0.0050,3,190.0,24.6,0.0025,,
0.0085,4,190.5,24.5,0.0030,,
0.0145,5,191.2,24.6,0.0050,,
0.0230,6,192.3,24.6,0.0070,,
0.0305,7,192.9,24.5,0.0070,,
0.0390,8,193.7,24.6,0.0075,,
0.0475,9,195.1,24.6,0.0070,,
0.0560,10,195.9,24.6,0.0070,,
0.0645,11,196.9,24.6,0.0070,,
0.0725,12,197.7,24.6,0.0065,,
0.0805,13,198.0,24.5,0.0075,,
0.0885,14,198.5,24.6,0.0075,,
0.0970,15,199.2,24.6,0.0075,,
0.1055,16,200.3,24.6,0.0070,,
0.1140,17,200.9,24.5,0.0070,,
0.1225,18,201.6,24.5,0.0070,,
0.1300,19,202.9,24.5,0.0070,,
0.1385,20,203.4,24.5,0.0075,,
0.1465,21,203.5,24.5,0.0075,,
0.1550,22,204.0,24.6,0.0070,,
0.1635,23,204.7,24.5,0.0070,,
0.1720,24,205.5,24.6,0.0070,,
0.1795,25,206.0,24.5,0.0070,,
0.1880,26,206.8,24.5,0.0075,,
0.1965,27,207.6,24.5,0.0075,,
0.2050,28,207.9,24.5,0.0070,,
0.2135,29,208.1,24.5,0.0070,,
0.2215,30,208.6,24.5,0.0065,,
0.2295,31,209.1,24.5,0.0075,,
0.2375,32,209.7,24.5,0.0075,,
0.2460,33,210.2,24.5,0.0075,,
